,p-value,cell.line,DIP Rate,Division Rate,Death Rate,param.pair,Cell Line
127,1.993117407838363e-17,not.assigned,0.006,0.026,0.019999999999999997,127,not.assigned
128,1.6278317439645486e-24,not.assigned,0.007,0.026,0.019,128,not.assigned
129,1.1791083200498445e-07,not.assigned,0.005,0.026,0.020999999999999998,129,not.assigned
130,2.1343232883989015e-10,not.assigned,0.006,0.026,0.019999999999999997,130,not.assigned
131,1.2978037728131372e-06,not.assigned,0.007,0.026,0.019,131,not.assigned
132,3.935728307722153e-05,not.assigned,0.005,0.026,0.020999999999999998,132,not.assigned
133,0.0002775345792230621,not.assigned,0.006,0.026,0.019999999999999997,133,not.assigned
134,0.007399395482752817,not.assigned,0.007,0.026,0.019,134,not.assigned
135,4.285634891093202e-25,not.assigned,0.005,0.027,0.022,135,not.assigned
136,1.8854393978610872e-25,not.assigned,0.006,0.027,0.020999999999999998,136,not.assigned
137,1.0115827431136443e-15,not.assigned,0.007,0.027,0.02,137,not.assigned
138,2.051410425478913e-06,not.assigned,0.005,0.027,0.022,138,not.assigned
139,9.137440612827937e-08,not.assigned,0.006,0.027,0.020999999999999998,139,not.assigned
140,1.0303637798784706e-05,not.assigned,0.007,0.027,0.02,140,not.assigned
141,1.0723580375726486e-05,not.assigned,0.005,0.027,0.022,141,not.assigned
142,0.0006278499096442446,not.assigned,0.006,0.027,0.020999999999999998,142,not.assigned
143,0.00011610907969818784,not.assigned,0.007,0.027,0.02,143,not.assigned
