,p-value,cell.line,DIP Rate,Division Rate,Death Rate,param.pair,Cell Line
114,0.002018547135580963,not.assigned,0.005,0.024,0.019,114,not.assigned
115,0.07803414229634896,not.assigned,0.006,0.024,0.018000000000000002,115,not.assigned
116,0.13249465173747893,PC9-DS8,0.007,0.024,0.017,116,PC9-DS8.2
117,5.544669901185259e-19,not.assigned,0.005,0.025,0.02,117,not.assigned
118,6.405854271832983e-17,not.assigned,0.006,0.025,0.019000000000000003,118,not.assigned
119,6.507775383093434e-16,not.assigned,0.007,0.025,0.018000000000000002,119,not.assigned
120,1.8142169425905588e-06,not.assigned,0.005,0.025,0.02,120,not.assigned
121,9.764425416949518e-06,not.assigned,0.006,0.025,0.019000000000000003,121,not.assigned
122,0.0036582924938538862,not.assigned,0.007,0.025,0.018000000000000002,122,not.assigned
123,0.0005038971612336511,not.assigned,0.005,0.025,0.02,123,not.assigned
124,0.06348190532394253,not.assigned,0.006,0.025,0.019000000000000003,124,not.assigned
125,0.09204144500608712,not.assigned,0.007,0.025,0.018000000000000002,125,not.assigned
126,2.8584224807682555e-21,not.assigned,0.005,0.026,0.020999999999999998,126,not.assigned
127,4.893641907144726e-18,not.assigned,0.006,0.026,0.019999999999999997,127,not.assigned
128,1.887610723015651e-19,not.assigned,0.007,0.026,0.019,128,not.assigned
129,7.703380830018822e-07,not.assigned,0.005,0.026,0.020999999999999998,129,not.assigned
130,0.0020021096504508223,not.assigned,0.006,0.026,0.019999999999999997,130,not.assigned
131,7.050462401353505e-08,not.assigned,0.007,0.026,0.019,131,not.assigned
132,0.0015560713947144094,not.assigned,0.005,0.026,0.020999999999999998,132,not.assigned
133,0.08767791471879748,not.assigned,0.006,0.026,0.019999999999999997,133,not.assigned
134,0.015428188205243236,not.assigned,0.007,0.026,0.019,134,not.assigned
135,1.1904332948664707e-17,not.assigned,0.005,0.027,0.022,135,not.assigned
136,5.20309097616506e-16,not.assigned,0.006,0.027,0.020999999999999998,136,not.assigned
137,5.287422586165432e-14,not.assigned,0.007,0.027,0.02,137,not.assigned
138,4.331326261616079e-06,not.assigned,0.005,0.027,0.022,138,not.assigned
139,3.837687791399626e-07,not.assigned,0.006,0.027,0.020999999999999998,139,not.assigned
140,1.739039654849444e-06,not.assigned,0.007,0.027,0.02,140,not.assigned
141,0.001823614119932295,not.assigned,0.005,0.027,0.022,141,not.assigned
142,0.014073382005276724,not.assigned,0.006,0.027,0.020999999999999998,142,not.assigned
143,0.05713276441706481,not.assigned,0.007,0.027,0.02,143,not.assigned
